@date: 2014-06-26
@url: http://www.quanthistling.info/data/source/wipiodeicat1996/dictionary-19-150.html
@source_title: Diccionario Aguaruna ~ Castellano
@source_author: Wipio Deicat, Gerardo
@source_year: 1996
QLCID	HEAD	HEAD_DOCULECT	TRANSLATION	TRANSLATION_DOCULECT	POS
wipiodeicat1996/19/38	amuét	Aguaruna	disminuir	Castellano	v.
wipiodeicat1996/19/39	achá	Aguaruna	no sé	Castellano	interj.
wipiodeicat1996/19/40	achánta	Aguaruna	no sé (expresión de admiración o extrañeza)	Castellano	interj.
wipiodeicat1996/19/41	achápait	Aguaruna	poner boca abajo	Castellano	v.
wipiodeicat1996/19/42	achayáap	Aguaruna	especie de pájaro	Castellano	s.
wipiodeicat1996/19/42	achayáapi	Aguaruna	especie de pájaro	Castellano	s.
wipiodeicat1996/19/43	achíamu	Aguaruna	extensión	Castellano	s.
wipiodeicat1996/19/44	achiímat	Aguaruna	agarrarse a sí mismo	Castellano	v.
wipiodeicat1996/19/44	achiímat	Aguaruna	contagiarse	Castellano	v.
wipiodeicat1996/19/45	achíjattai	Aguaruna	prisión	Castellano	s.
wipiodeicat1996/19/46	achijuámu	Aguaruna	asado	Castellano	adj.
wipiodeicat1996/19/47	achijút	Aguaruna	asar	Castellano	v.
wipiodeicat1996/19/48	achikbáu	Aguaruna	esclavo	Castellano	s.|adj.
wipiodeicat1996/19/48	achikbáu	Aguaruna	prisionero	Castellano	s.|adj.
wipiodeicat1996/19/48	achikbáu	Aguaruna	atrapado	Castellano	s.|adj.
wipiodeicat1996/19/48	achikbáu	Aguaruna	detenido	Castellano	s.|adj.
wipiodeicat1996/19/48	achikmáu	Aguaruna	esclavo	Castellano	s.|adj.
wipiodeicat1996/19/48	achikmáu	Aguaruna	prisionero	Castellano	s.|adj.
wipiodeicat1996/19/48	achikmáu	Aguaruna	atrapado	Castellano	s.|adj.
wipiodeicat1996/19/48	achikmáu	Aguaruna	detenido	Castellano	s.|adj.
