@date: 2014-06-26
@url: http://www.quanthistling.info/data/source/larson1966/dictionary-1-90.html
@source_title: Vocabulario Aguaruna de Amazonas
@source_author: Larson, Mildred L.
@source_year: 1966
QLCID	HEAD	HEAD_DOCULECT	TRANSLATION	TRANSLATION_DOCULECT	POS
larson1966/2/20	ajá̱kmat	Aguaruna	cosechar	Castellano	
larson1966/2/20	ajá̱kmat	Aguaruna	cultivar	Castellano	
larson1966/2/21	aja̱mát	Aguaruna	hacer chacra	Castellano	
larson1966/2/22	ajá̱mat	Aguaruna	invitar a comer	Castellano	
larson1966/2/23	a̱jampásh	Aguaruna	así está bien	Castellano	
larson1966/2/24	a̱já̱n	Aguaruna	lejos	Castellano	
larson1966/2/25	a̱á̱jan	Aguaruna	así	Castellano	
larson1966/2/26	ajánkachu	Aguaruna	persona que no teme a nadie	Castellano	
larson1966/2/26	ajánkachu	Aguaruna	sinvergüenza	Castellano	
larson1966/2/26	ajánkachu	Aguaruna	atrevido	Castellano	
larson1966/2/27	ajántuch	Aguaruna	poco lejos	Castellano	
larson1966/2/28	a̱ja̱ntút	Aguaruna	desanimar	Castellano	
larson1966/2/28	a̱ja̱ntút	Aguaruna	tener miedo	Castellano	
larson1966/2/28	a̱ja̱ntút	Aguaruna	tener respeto	Castellano	
larson1966/2/29	ajápet	Aguaruna	botar (un objeto)	Castellano	
larson1966/2/29	ajápet	Aguaruna	abandonar	Castellano	
larson1966/2/30	ajápnakiu	Aguaruna	miserable	Castellano	
larson1966/2/31	ajá̱t	Aguaruna	sembrar	Castellano	
larson1966/2/32	ájat	Aguaruna	tumbar árboles	Castellano	
larson1966/2/33	ajatín	Aguaruna	pegajoso	Castellano	
larson1966/2/34	ajátsjats	Aguaruna	especie de árbol	Castellano	
larson1966/2/35	ajá̱u	Aguaruna	declive	Castellano	
larson1966/2/35	ajá̱u	Aguaruna	plano inclinado	Castellano	
larson1966/2/35	ajá̱u	Aguaruna	sima	Castellano	
larson1966/2/36	ajég	Aguaruna	ajengibre (jengibre)	Castellano	
larson1966/3/1	ajegát	Aguaruna	botar al agua una canoa o balsa	Castellano	
larson1966/3/2	ajigbáu	Aguaruna	estaca	Castellano	
larson1966/3/3	ajintút	Aguaruna	plantar postes	Castellano	
larson1966/3/4	ajít	Aguaruna	tumbar	Castellano	
larson1966/3/4	ajít	Aguaruna	clavar	Castellano	
larson1966/3/5	aji̱í̱t	Aguaruna	chispear	Castellano	
larson1966/3/5	aji̱í̱t	Aguaruna	prender fósforos	Castellano	
larson1966/3/5	aji̱í̱t	Aguaruna	golpe	Castellano	
larson1966/3/6	aju̱gkú	Aguaruna	una cosa tumbada en el agua	Castellano	
larson1966/3/7	ájuj	Aguaruna	nigua	Castellano	
larson1966/3/7	ájuj	Aguaruna	pique (insecto)	Castellano	
larson1966/3/8	ajú̱m	Aguaruna	después	Castellano	
larson1966/3/9	ajú̱maish	Aguaruna	para siempre	Castellano	
larson1966/3/10	áju̱ntai	Aguaruna	isla	Castellano	
larson1966/3/10	áju̱ntai	Aguaruna	brazo del río	Castellano	
larson1966/3/11	a̱jú̱ntut	Aguaruna	echar agua en la olla	Castellano	
larson1966/3/12	áju̱s	Aguaruna	arroz	Castellano	
larson1966/3/13	ajú̱t	Aguaruna	cosa vieja usada	Castellano	
larson1966/3/14	aju̱ú̱t	Aguaruna	tumbar	Castellano	
larson1966/3/15	ajútap	Aguaruna	animales que se aparecen en visiones	Castellano	
larson1966/3/16	ajú̱tuch	Aguaruna	cosa usada	Castellano	
larson1966/3/16	ajú̱tuch	Aguaruna	cosa vieja	Castellano	
larson1966/3/17	aák	Aguaruna	tambo	Castellano	
larson1966/3/17	aák	Aguaruna	choza	Castellano	
larson1966/3/18	áka	Aguaruna	gusano de carne en decomposición	Castellano	
larson1966/3/19	akáchu	Aguaruna	cinturón	Castellano	
larson1966/3/20	akáchumat	Aguaruna	ceñir	Castellano	
larson1966/3/20	akáchumat	Aguaruna	poner cinturón	Castellano	
larson1966/3/21	akagát	Aguaruna	bajar	Castellano	
larson1966/3/22	akagkék	Aguaruna	rodar	Castellano	
larson1966/3/23	akágnum	Aguaruna	macanbillo (fruta del monte)	Castellano	
larson1966/3/24	akaikít	Aguaruna	bajar	Castellano	
larson1966/3/25	akájik	Aguaruna	trenza de delante	Castellano	
larson1966/3/26	akajú̱	Aguaruna	escopeta	Castellano	
larson1966/3/27	akajú̱ sagkáni̱	Aguaruna	talón	Castellano	
larson1966/3/28	akákektin	Aguaruna	bajar frutas por movimiento del árbol	Castellano	
larson1966/3/29	akáktin	Aguaruna	bajar frutas	Castellano	
larson1966/3/30	akáamat	Aguaruna	cortarse	Castellano	
larson1966/3/31	akanát	Aguaruna	clasificar	Castellano	
larson1966/3/31	akanát	Aguaruna	dividir	Castellano	
larson1966/3/31	akanát	Aguaruna	partir	Castellano	
larson1966/3/31	akanát	Aguaruna	separar	Castellano	
larson1966/3/32	akantsámu̱	Aguaruna	compartimiento	Castellano	
larson1966/4/1	akáp	Aguaruna	hígado	Castellano	
larson1966/4/2	akáp dáwe	Aguaruna	planta de pie	Castellano	
larson1966/4/3	akáp uwéj	Aguaruna	palma de la mano	Castellano	
larson1966/4/4	akásmat	Aguaruna	dar celos	Castellano	
larson1966/4/4	akásmat	Aguaruna	tener celos	Castellano	
larson1966/4/5	akásmatut	Aguaruna	tener celo	Castellano	
larson1966/4/5	akásmatut	Aguaruna	prohibir	Castellano	
larson1966/4/6	akásmau	Aguaruna	celoso	Castellano	
larson1966/4/7	akát	Aguaruna	desgranar	Castellano	
larson1966/4/8	ákat	Aguaruna	encender	Castellano	
larson1966/4/9	akátmabau	Aguaruna	despedida	Castellano	
larson1966/4/10	akátmamat	Aguaruna	despedirse	Castellano	
larson1966/4/10	akátmamat	Aguaruna	despedir	Castellano	
larson1966/4/11	akáu̱t	Aguaruna	despedazar carne	Castellano	
larson1966/4/12	akiáu	Aguaruna	pagado	Castellano	
larson1966/4/12	akiáu	Aguaruna	paga	Castellano	
larson1966/4/13	akiá̱u̱	Aguaruna	engendró	Castellano	
larson1966/4/14	akíjatbau	Aguaruna	sueldo	Castellano	
larson1966/4/15	ákik	Aguaruna	caro	Castellano	
larson1966/4/16	ákikchau	Aguaruna	barato	Castellano	
larson1966/4/17	akíke̱	Aguaruna	el precio	Castellano	
larson1966/4/17	akíke̱	Aguaruna	su favor	Castellano	
larson1966/4/18	akíkji̱	Aguaruna	valor	Castellano	
larson1966/4/19	akikmáu	Aguaruna	pagado	Castellano	
larson1966/4/20	akíi̱nat	Aguaruna	nacer	Castellano	
larson1966/4/20	akíi̱nat	Aguaruna	nacimiento	Castellano	
larson1966/4/20	akíi̱nat	Aguaruna	reproducir	Castellano	
larson1966/4/21	akít	Aguaruna	pagar	Castellano	
larson1966/4/22	aki̱í̱tai	Aguaruna	arete	Castellano	
larson1966/4/22	aki̱í̱tai	Aguaruna	ornamento para las orejas	Castellano	
larson1966/4/23	akítju̱t	Aguaruna	tapar un hueco	Castellano	
larson1966/4/24	aakmát	Aguaruna	hacer choza	Castellano	
larson1966/4/24	aakmát	Aguaruna	hacer tambo	Castellano	
larson1966/4/25	akunát	Aguaruna	asegurar	Castellano	
larson1966/4/25	akunát	Aguaruna	encerrar con quincha	Castellano	
larson1966/4/26	akupét	Aguaruna	soltar	Castellano	
larson1966/4/26	akupét	Aguaruna	mandar	Castellano	
larson1966/4/26	akupét	Aguaruna	desatar	Castellano	
larson1966/4/27	akutkáu	Aguaruna	meter	Castellano	
larson1966/4/27	akutkáu	Aguaruna	colocar	Castellano	
larson1966/4/28	akutút	Aguaruna	herir	Castellano	
larson1966/4/29	amáin	Aguaruna	rivera opuesta del río	Castellano	
larson1966/4/29	amáin	Aguaruna	otro lado del río	Castellano	
larson1966/4/30	amájat	Aguaruna	especie de hormiga chiquita	Castellano	
larson1966/4/31	amák	Aguaruna	hamaca	Castellano	
larson1966/4/32	amamát	Aguaruna	atollarse en barro	Castellano	
larson1966/4/32	amamát	Aguaruna	hundir	Castellano	
larson1966/4/33	amanít	Aguaruna	alcanzar	Castellano	
larson1966/4/34	amát	Aguaruna	dar	Castellano	
larson1966/4/35	ámau	Aguaruna	creciente	Castellano	
larson1966/4/36	amáuju̱t	Aguaruna	crecer río	Castellano	
larson1966/4/37	áme̱	Aguaruna	usted	Castellano	
larson1966/4/37	áme̱	Aguaruna	tú	Castellano	
larson1966/5/1	ámich	Aguaruna	zorro	Castellano	
larson1966/5/2	amikít	Aguaruna	enfriar	Castellano	
larson1966/5/2	amikít	Aguaruna	refrescar	Castellano	
larson1966/5/2	amikít	Aguaruna	calmar sed	Castellano	
larson1966/5/3	ámin	Aguaruna	a usted	Castellano	
larson1966/5/3	ámin	Aguaruna	a ti	Castellano	
larson1966/5/4	ampágpag	Aguaruna	planta picante	Castellano	
larson1966/5/4	ampágpag	Aguaruna	hojas empleadas para remedio	Castellano	
larson1966/5/5	ámpi	Aguaruna	remedio	Castellano	
larson1966/5/5	ámpi	Aguaruna	medicina	Castellano	
larson1966/5/6	ampíjatin	Aguaruna	médico	Castellano	
larson1966/5/7	ampinát	Aguaruna	sobrar	Castellano	
larson1966/5/8	ampít	Aguaruna	curar	Castellano	
larson1966/5/9	ámpuj	Aguaruna	tripas	Castellano	
larson1966/5/9	ámpuj	Aguaruna	intestinos	Castellano	
larson1966/5/10	ampúsh	Aguaruna	búho	Castellano	
larson1966/5/10	ampúsh	Aguaruna	un especie de grillo	Castellano	
larson1966/5/11	ampúya	Aguaruna	venado chico	Castellano	
larson1966/5/12	ámuntai	Aguaruna	zopilote	Castellano	
larson1966/5/13	ámut	Aguaruna	dar de beber	Castellano	
larson1966/5/14	amúut	Aguaruna	acabar de comer	Castellano	
larson1966/5/14	amúut	Aguaruna	de hacer	Castellano	
larson1966/5/14	amúut	Aguaruna	y de matar	Castellano	
larson1966/5/15	ánag	Aguaruna	soga de canoa	Castellano	
larson1966/5/16	anágkemat	Aguaruna	enredarse con soga	Castellano	
larson1966/5/17	anágkut	Aguaruna	prometer	Castellano	
larson1966/5/17	anágkut	Aguaruna	ofrecer	Castellano	
larson1966/5/18	anágmamu̱	Aguaruna	promesa	Castellano	
larson1966/5/19	anágmat	Aguaruna	excusa	Castellano	
larson1966/5/19	anágmat	Aguaruna	dar excusa	Castellano	
larson1966/5/19	anágmat	Aguaruna	excusarse	Castellano	
larson1966/5/20	anák	Aguaruna	vestido	Castellano	
larson1966/5/20	anák	Aguaruna	traje	Castellano	
larson1966/5/21	anamát	Aguaruna	calentarse	Castellano	
larson1966/5/22	anát	Aguaruna	asolear	Castellano	
larson1966/5/23	ánaut	Aguaruna	amarrar	Castellano	
larson1966/5/24	ánchi̱	Aguaruna	tábano	Castellano	
larson1966/5/25	aneántu	Aguaruna	resucitar	Castellano	
larson1966/5/26	áneg	Aguaruna	canción de amor	Castellano	
larson1966/5/27	anémain	Aguaruna	penosamente	Castellano	
larson1966/5/28	anendáiyat	Aguaruna	amabilidad	Castellano	
larson1966/5/29	ánenjut	Aguaruna	cantar (romántico)	Castellano	
larson1966/5/30	ánentag súju̱t	Aguaruna	regalar	Castellano	
larson1966/5/30	ánentag súju̱t	Aguaruna	obsequiar	Castellano	
larson1966/6/1	anentái	Aguaruna	corazón	Castellano	
larson1966/6/2	anentai ijú̱	Aguaruna	hormiga grande que vuela	Castellano	
larson1966/6/3	anentáibau	Aguaruna	idea	Castellano	
larson1966/6/3	anentáibau	Aguaruna	pensamiento	Castellano	
larson1966/6/4	anentáimas adáiyat	Aguaruna	adivinar	Castellano	
larson1966/6/5	anentáimat	Aguaruna	creer	Castellano	
larson1966/6/5	anentáimat	Aguaruna	pensar	Castellano	
larson1966/6/5	anentáimat	Aguaruna	reflexionar	Castellano	
larson1966/6/5	anentáimat	Aguaruna	opinión	Castellano	
larson1966/6/5	anentáimat	Aguaruna	pensamiento	Castellano	
larson1966/6/5	anentáimat	Aguaruna	idea	Castellano	
larson1966/6/6	anentáimchau	Aguaruna	sin pensar	Castellano	
larson1966/6/7	anentáimkachu	Aguaruna	tonto	Castellano	
larson1966/6/7	anentáimkachu	Aguaruna	loco	Castellano	
larson1966/6/7	anentáimkachu	Aguaruna	demente	Castellano	
larson1966/6/8	anentáimkau	Aguaruna	inteligente	Castellano	
larson1966/6/8	anentáimkau	Aguaruna	persona razonable	Castellano	
larson1966/6/9	anentáimtut	Aguaruna	notar	Castellano	
larson1966/6/10	anentáinchau	Aguaruna	sin sentido	Castellano	
larson1966/6/11	anéntikat	Aguaruna	advertir	Castellano	
larson1966/6/12	aneét	Aguaruna	extrañar	Castellano	
larson1966/6/12	aneét	Aguaruna	recordar	Castellano	
larson1966/6/12	aneét	Aguaruna	acordar	Castellano	
larson1966/6/12	aneét	Aguaruna	amar	Castellano	
larson1966/6/12	aneét	Aguaruna	tener pena	Castellano	
larson1966/6/12	aneét	Aguaruna	cariño	Castellano	
larson1966/6/12	aneét	Aguaruna	amor	Castellano	
larson1966/6/13	aníjit	Aguaruna	acercarse	Castellano	
larson1966/6/14	aánin	Aguaruna	parecido	Castellano	
larson1966/6/15	ánit	Aguaruna	cuesta	Castellano	
larson1966/6/16	ankúnip	Aguaruna	tazón hecho de calabaza	Castellano	
larson1966/6/17	á̱nnu̱we	Aguaruna	es así	Castellano	
larson1966/6/18	ántach	Aguaruna	libélula	Castellano	
larson1966/6/18	ántach	Aguaruna	caballito del diablo	Castellano	
larson1966/6/19	ántantanch	Aguaruna	libélula	Castellano	
larson1966/6/19	ántantanch	Aguaruna	caballito del diablo	Castellano	
larson1966/6/20	antít	Aguaruna	tocar	Castellano	
larson1966/6/20	antít	Aguaruna	sentir	Castellano	
larson1966/6/21	ántuchu	Aguaruna	desobediente	Castellano	
larson1966/6/22	antúji̱n	Aguaruna	creyente	Castellano	
larson1966/6/23	antúju̱t	Aguaruna	creer	Castellano	
larson1966/6/23	antúju̱t	Aguaruna	hacer caso	Castellano	
larson1966/6/24	ántut	Aguaruna	oír	Castellano	
larson1966/6/24	ántut	Aguaruna	escuchar	Castellano	
larson1966/6/24	ántut	Aguaruna	comprender	Castellano	
larson1966/6/25	antsúg	Aguaruna	prima de hombre	Castellano	
larson1966/6/25	antsúg	Aguaruna	primo de mujer	Castellano	
larson1966/6/25	antsúg	Aguaruna	el hijo del hermano de su madre	Castellano	
larson1966/6/26	anú	Aguaruna	esa	Castellano	
larson1966/6/27	anúgkut	Aguaruna	vestir a un niño	Castellano	
larson1966/6/28	anuí	Aguaruna	allí	Castellano	
larson1966/6/29	anujút	Aguaruna	pegar	Castellano	
larson1966/7/1	ánuke	Aguaruna	igual	Castellano	
larson1966/7/1	ánuke	Aguaruna	semejante	Castellano	
larson1966/7/1	ánuke	Aguaruna	como este	Castellano	
larson1966/7/2	anúmat	Aguaruna	atracar	Castellano	
larson1966/7/2	anúmat	Aguaruna	bordear	Castellano	
larson1966/7/3	anúmtai̱	Aguaruna	puerto	Castellano	
larson1966/7/4	ánuntain	Aguaruna	él que guía la canoa	Castellano	
larson1966/7/5	ánuntut	Aguaruna	guiar la canoa	Castellano	
larson1966/7/6	anutút	Aguaruna	pegar	Castellano	
larson1966/7/7	ápa	Aguaruna	padre (tuyo)	Castellano	
larson1966/7/8	apách	Aguaruna	abuelo	Castellano	
larson1966/7/9	apách kámpa	Aguaruna	hormiga chiquita y roja	Castellano	
larson1966/7/10	apách méjech	Aguaruna	plátanos de la isla	Castellano	
larson1966/7/11	apái	Aguaruna	sachamango (mango silvestre)	Castellano	
larson1966/7/12	apáich	Aguaruna	una hoja que se emplea para tapar ollas	Castellano	
larson1966/7/13	apajuí	Aguaruna	un héroe de leyendas	Castellano	
larson1966/7/13	apajuí	Aguaruna	un dios	Castellano	
larson1966/7/14	apájut	Aguaruna	sorprender	Castellano	
larson1966/7/15	apápek	Aguaruna	cilindro largo	Castellano	
larson1966/7/16	apát	Aguaruna	tener en la boca	Castellano	
larson1966/7/16	apát	Aguaruna	coser	Castellano	
larson1966/7/17	apátkau	Aguaruna	bígamo	Castellano	
larson1966/7/17	apátkau	Aguaruna	dos juntos	Castellano	
larson1966/7/18	apátnaki	Aguaruna	unión de dos cosas	Castellano	
larson1966/7/19	apátut	Aguaruna	casarse con dos mujeres	Castellano	
larson1966/7/19	apátut	Aguaruna	igualar dos cosas	Castellano	
larson1966/7/19	apátut	Aguaruna	tener dos cosas	Castellano	
larson1966/7/20	apátsag	Aguaruna	pocos	Castellano	
larson1966/7/21	apét	Aguaruna	quemar	Castellano	
larson1966/7/22	apigkág	Aguaruna	monte tupido	Castellano	
larson1966/7/22	apigkág	Aguaruna	monte espeso	Castellano	
larson1966/7/22	apigkág	Aguaruna	bosque	Castellano	
larson1966/7/23	apiját	Aguaruna	doblar soga o tela	Castellano	
larson1966/7/24	apijút	Aguaruna	remendar	Castellano	
larson1966/7/25	apíktumtai	Aguaruna	pampanilla	Castellano	
larson1966/7/25	apíktumtai	Aguaruna	taparrabo	Castellano	
larson1966/7/26	apísmat	Aguaruna	pantorrilla (parte de pierna)	Castellano	
larson1966/7/27	ápu	Aguaruna	autoridad	Castellano	
larson1966/7/27	ápu	Aguaruna	jefe	Castellano	
larson1966/7/27	ápu	Aguaruna	director	Castellano	
larson1966/7/27	ápu	Aguaruna	gobernador	Castellano	
larson1966/7/28	apújkamu̱	Aguaruna	olla principiada	Castellano	
larson1966/7/29	apújtuamu̱	Aguaruna	lo que está puesto	Castellano	
larson1966/7/30	apújut	Aguaruna	poner	Castellano	
larson1966/7/30	apújut	Aguaruna	colocar	Castellano	
larson1966/7/30	apújut	Aguaruna	situar	Castellano	
larson1966/7/30	apújut	Aguaruna	ubicar	Castellano	
larson1966/7/31	apúupu	Aguaruna	bufeo	Castellano	
larson1966/7/32	asáket	Aguaruna	trancar	Castellano	
